Date,Total Demand,RRP,Hour,Minute,Month,Quarter,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
2023-02-26,5127.84,149.5,19,0,2,1,26,15.7,23.4,1.4,30.0,17.1,68.0,1012.5,22.2,54.0,9.0,1011.4,0.0
2023-02-27,5466.32,151.74,18,30,2,1,27,16.3,20.2,2.6,33.0,17.9,77.0,1015.4,18.9,72.0,11.0,1015.9,13.0
2023-02-28,5652.15,86.14,17,0,2,1,28,16.5,17.6,0.2,28.0,17.1,72.0,1013.1,16.0,97.0,9.0,1011.4,6.0
2023-03-01,5329.0,117.02,6,30,3,1,1,14.3,21.1,3.2,28.0,14.9,94.0,1013.3,20.7,61.0,9.0,1013.2,7.0
2023-03-02,5414.26,92.9,7,0,3,1,2,14.5,21.7,0.8,26.0,16.1,73.0,1014.8,21.2,59.0,9.0,1014.3,9.0
2023-03-03,5198.45,79.48,7,0,3,1,3,15.5,19.8,0.2,35.0,16.6,65.0,1018.9,18.6,54.0,24.0,1017.3,13.0
2023-03-04,5664.94,128.02,17,30,3,1,4,14.1,31.4,0.0,31.0,16.8,76.0,1013.3,30.2,36.0,15.0,1008.0,7.0
2023-03-05,6164.24,89.88,16,30,3,1,5,16.5,32.9,0.0,44.0,23.2,57.0,1003.9,29.2,31.0,6.0,1000.8,13.0
2023-03-06,5363.66,41.14,19,30,3,1,6,15.5,25.3,5.6,50.0,17.4,63.0,1004.9,24.0,37.0,11.0,1003.0,13.0
2023-03-07,5263.4,86.47,18,30,3,1,7,15.4,23.2,0.0,50.0,16.7,55.0,1006.7,21.3,39.0,15.0,1003.9,15.0
2023-03-08,5378.45,84.83,7,0,3,1,8,12.3,19.4,1.0,48.0,13.4,62.0,1007.3,18.2,35.0,9.0,1006.6,11.0
2023-03-09,5505.32,128.02,6,30,3,1,9,12.9,22.1,0.0,31.0,14.5,63.0,1012.0,20.2,52.0,9.0,1011.9,7.0
2023-03-10,5534.52,96.86,7,0,3,1,10,14.5,24.0,0.0,28.0,17.1,68.0,1017.0,22.5,51.0,11.0,1014.5,6.0
2023-03-11,4924.36,28.93,18,0,3,1,11,13.3,24.7,0.0,31.0,16.4,86.0,1014.4,24.0,47.0,13.0,1011.9,0.0
2023-03-12,4727.77,82.43,19,0,3,1,12,15.5,20.7,0.0,37.0,17.4,67.0,1014.8,19.6,58.0,17.0,1015.4,9.0
2023-03-13,5011.76,120.04,18,0,3,1,13,11.7,22.4,0.0,30.0,16.4,68.0,1018.2,21.3,55.0,13.0,1016.6,7.0
2023-03-14,6333.33,165.69,17,30,3,1,14,15.9,30.5,0.0,31.0,17.6,81.0,1016.5,30.3,34.0,13.0,1012.8,9.0
2023-03-15,6030.0,85.32,18,0,3,1,15,17.6,22.9,0.0,24.0,19.0,81.0,1013.8,21.6,69.0,11.0,1010.3,6.0
2023-03-16,5945.86,0.02,17,0,3,1,16,17.3,28.5,0.0,39.0,18.6,63.0,1010.0,27.6,40.0,13.0,1007.4,11.0
2023-03-17,5697.14,299.5,18,0,3,1,17,15.8,24.6,2.6,28.0,16.8,64.0,1016.6,22.6,41.0,9.0,1014.7,7.0
2023-03-18,5886.16,57.11,16,30,3,1,18,14.6,36.2,0.0,52.0,23.1,43.0,1011.4,32.0,27.0,17.0,1008.9,13.0
2023-03-19,4908.0,26.08,18,0,3,1,19,17.3,19.0,0.0,28.0,17.4,74.0,1019.7,18.1,70.0,11.0,1020.1,7.0
2023-03-20,5161.59,78.58,18,30,3,1,20,14.9,20.8,0.0,41.0,15.7,56.0,1027.8,20.3,42.0,15.0,1026.5,17.0
2023-03-21,5672.06,112.97,17,0,3,1,21,11.7,19.4,0.0,17.0,13.5,70.0,1025.7,18.4,65.0,7.0,1022.7,6.0
2023-03-22,5611.71,130.04,18,0,3,1,22,13.5,22.8,1.6,24.0,17.3,86.0,1021.0,21.8,65.0,13.0,1019.1,2.0
2023-03-23,5580.42,162.02,17,30,3,1,23,15.3,22.6,10.2,24.0,16.5,100.0,1017.6,21.4,68.0,9.0,1015.6,9.0
2023-03-24,5311.36,109.12,7,0,3,1,24,16.1,21.6,1.4,31.0,17.3,74.0,1019.6,19.2,55.0,13.0,1019.0,7.0
2023-03-25,4803.8,86.99,19,0,3,1,25,11.6,19.6,0.2,33.0,15.7,69.0,1021.7,18.9,55.0,13.0,1019.1,9.0
2023-03-26,5087.42,261.84,18,30,3,1,26,10.7,19.9,0.0,20.0,14.0,74.0,1017.5,19.1,63.0,6.0,1014.4,0.0
2023-03-27,5652.06,290.3,18,0,3,1,27,13.9,18.3,0.0,26.0,16.0,84.0,1013.1,17.6,81.0,11.0,1010.5,9.0
2023-03-28,5595.69,299.5,7,0,3,1,28,15.5,20.9,8.0,24.0,16.7,95.0,1012.4,20.2,69.0,11.0,1009.9,0.0
2023-03-29,5432.76,128.36,7,0,3,1,29,14.9,18.5,5.8,43.0,14.9,91.0,1009.3,17.9,60.0,17.0,1008.6,7.0
2023-03-30,5586.02,326.08,7,0,3,1,30,12.4,19.1,8.2,31.0,14.3,69.0,1011.0,18.4,57.0,13.0,1010.1,9.0
2023-03-31,5508.82,157.2,7,0,3,1,31,14.1,19.4,0.0,33.0,15.2,71.0,1013.2,19.0,67.0,13.0,1012.6,6.0
2023-04-01,5192.96,118.53,19,0,4,2,1,11.3,16.4,4.6,33.0,13.3,74.0,1019.5,14.6,62.0,13.0,1019.9,9.0
